sitename,sitename_short,smurf_site,include,associated_mpa,MPA_STATUS,start year,end year,day,method,LAT_WGS84,LON_WGS84
SCI_SAN_PEDRO_POINT_E,SCI_SAN_PEDRO_POINT,LITTLE SCORP,0,Scorpion SMR,reference,2005,2009,,SBTL_FISH,34.038367,-119.5253
SCI_SAN_PEDRO_POINT_W,SCI_SAN_PEDRO_POINT,LITTLE SCORP,0,Scorpion SMR,reference,2005,2009,,SBTL_FISH,34.04225,-119.5316
SCI_SCORPION_ANCHORAGE_CEN,SCI_SCORPION_ANCHORAGE,SCORP,1,Scorpion SMR,SMR,2005,2009,,SBTL_FISH,34.047983,-119.5514
SCI_SCORPION_E,SCI_SCORPION,SCORP,1,Scorpion SMR,SMR,2004,2012,,SBTL_FISH,34.048467,-119.546367
SCI_SCORPION_W,SCI_SCORPION,SCORP,1,Scorpion SMR,SMR,2004,2012,,SBTL_FISH,34.0525,-119.55525
SCI_VALLEY_CEN,SCI_VALLEY,VALLEY,1,Gull Island SMR,reference,2004,2012,,SBTL_FISH,33.983617,-119.6384
SCI_VALLEY_E,SCI_VALLEY,VALLEY,1,Gull Island SMR,reference,2004,2012,,SBTL_FISH,33.98355,-119.620317
SCI_VALLEY_W,SCI_VALLEY,VALLEY,1,Gull Island SMR,reference,2004,2012,,SBTL_FISH,33.9817,-119.6637
SCI_YELLOWBANKS_CEN,SCI_YELLOWBANKS,YEL,0,Gull Island SMR,reference,2001,2012,,SBTL_FISH,33.988533,-119.546983
SCI_YELLOWBANKS_E,SCI_YELLOWBANKS,SMU,0,Gull Island SMR,reference,2001,2002,,SBTL_FISH,34.000433,-119.545933
SCI_YELLOWBANKS_W,SCI_YELLOWBANKS,YEL,0,Gull Island SMR,reference,2001,2012,,SBTL_FISH,33.9893,-119.564933
SMI_CROOK_POINT_E,SMI_CROOK_POINT,SMI-SOUTH,0,Harris Point SMR,reference,2003,2012,,SBTL_FISH,34.015867,-120.3305
SMI_CROOK_POINT_W,SMI_CROOK_POINT,SMI-SOUTH,0,Harris Point SMR,reference,2003,2012,,SBTL_FISH,34.01385,-120.337333
SMI_CUYLER_E,SMI_CUYLER,SMI-NORTH,0,Harris Point SMR,reference,2003,2012,,SBTL_FISH,34.051717,-120.346183
SMI_CUYLER_W,SMI_CUYLER,SMI-NORTH,0,Harris Point SMR,reference,2003,2012,,SBTL_FISH,34.05705,-120.3526
